"ait-table-cell","ait-table-cell 2","ait-table-cell 3","ait-local-number","ait-space-item","ait-space-item 2","ait-local-number 2","ait-space-item 3","ait-space-item 4","ait-local-number 3","ait-space-item 5","ait-space-item 6","ait-local-number 4","ait-space-item 7","ait-space-item 8","ait-local-number 5","ait-space-item 9","ait-space-item 10","ait-space-item 11","ait-space-item 12","ait-space-item 15","ait-space-item 16"
"boat","boat","Y","16,309.00","较前30日","10.89%","85,472.00","较前30日","8.64%","22.67%","较前30日","-4.75%","21.47","较前30日","15.66%","0.07%","","","较前30日","75.00%","",""
"pesca accesorios","Fishing accessories","N","24.37%","较前30日","14.36%","55.18","","","0.77%","较前30日","-11.32%","84,843.00","较前30日","48.08%","11,007.00","","","较前30日","33.40%","",""
"carretilha","Reel","Y","20,153.00","较前30日","12.87%","84,683.00","较前30日","8.53%","26.75%","较前30日","-8.82%","0.21%","较前30日","1.71%","8.77","","","","","较前30日","0.00%"
"go kart","Go kart","N","21,548.00","较前30日","21.76%","84,664.00","较前30日","21.24%","29.74%","较前30日","-6.00%","0.01%","较前30日","0.17%","16.34","","","","","较前30日","0.00%"
"sram","sram","Y","16,171.00","较前30日","12.69%","84,605.00","较前30日","15.15%","28.30%","较前30日","-0.49%","51.40","较前30日","5.20%","0.09%","","","较前30日","80.00%","",""
"piano","piano","Y","23,298.00","较前30日","6.41%","84,535.00","","","25.36%","较前30日","-8.07%","20.57","较前30日","-8.84%","","较前30日","-10.44%","","","",""
"isca artificial","Artificial bait","N","14,623.00","较前30日","16.26%","84,496.00","较前30日","20.33%","30.19%","较前30日","-5.13%","0.74%","较前30日","7.67%","18.93","较前30日","-4.86%","","","",""
"paracord","paracord","Y","19,552.00","较前30日","0.56%","84,023.00","较前30日","1.16%","37.73%","较前30日","-3.28%","2.99%","较前30日","4.34%","20.85","较前30日","4.91%","","","",""
"laser pointer","laser pointer","Y","21,528.00","较前30日","1.17%","83,820.00","较前30日","4.89%","33.61%","较前30日","-14.87%","1.66%","较前30日","-13.99%","13.66","较前30日","-13.88%","","","",""
"자전거","Bicycle","N","26.66%","较前30日","6.05%","7.24","","","0.13%","较前30日","-24.93%","83,550.00","较前30日","62.50%","20,238.00","","","较前30日","59.83%","",""
"lentes","Lenses","N","32,397.00","较前30日","0.53%","83,359.00","较前30日","13.58%","19.11%","较前30日","-12.93%","0.39%","较前30日","-18.75%","3.01","较前30日","-11.69%","","","",""
"hunting","hunting","Y","9,928.00","较前30日","23.08%","83,152.00","较前30日","-0.65%","17.25%","较前30日","-15.20%","0.16%","较前30日","-2.49%","92.35","较前30日","-18.32%","","","",""
"рюкзак","Backpack","N","34,127.00","较前30日","8.13%","82,750.00","较前30日","6.11%","37.00%","较前30日","-11.71%","0.16%","较前30日","1.76%","4.97","较前30日","14.29%","","","",""
"ykywbike","ykywbike","Y","47.16%","较前30日","0.53%","1.37%","较前30日","14.17%","18.26","较前30日","-21.90%","82,656.00","","","21,209.00","","","较前30日","73.70%","",""
"gafas sol hombre","Men's sunglasses","N","23.19%","较前30日","1.71%","1.22%","","","4.21","较前30日","-10.29%","82,590.00","","","21,451.00","较前30日","-23.34%","较前30日","52.30%","",""
"낚시","Fishing","N","82,500.00","较前30日","26.82%","16.16%","较前30日","4.80%","0.29%","较前30日","-18.54%","38.46","较前30日","3.57%","10,257.00","","","较前30日","31.05%","",""
"sup","sup","Y","18,663.00","较前30日","20.99%","82,410.00","较前30日","16.28%","26.86%","较前30日","-15.79%","0.16%","较前30日","14.79%","33.33","较前30日","-4.27%","","","",""
"walking pad","walking pad","N","24,540.00","较前30日","9.72%","81,371.00","较前30日","12.32%","31.81%","较前30日","-21.62%","0.79%","较前30日","-4.30%","12.81","较前30日","-20.16%","","","",""
"electric scooters for adults","electric scooters for adults","N","14,784.00","较前30日","0.00%","80,789.00","较前30日","0.00%","34.40%","较前30日","0.00%","0.38%","较前30日","0.00%","29.66","","","","","较前30日","0.00%"
"mtb","mtb","Y","25,351.00","较前30日","15.40%","80,668.00","较前30日","8.08%","23.99%","较前30日","-14.64%","20.09","较前30日","2.61%","0.03%","","","较前30日","200.00%","",""
"bike parts and accessories","bike parts and accessories","N","13,610.00","较前30日","0.00%","80,379.00","较前30日","0.00%","15.06%","较前30日","0.00%","0.27%","较前30日","0.00%","59.77","","","","","较前30日","0.00%"
"maillot ciclismo hombre","Man cycling maillot","N","33.15%","较前30日","0.03%","0.61%","较前30日","7.02%","21.79","较前30日","-19.26%","80,157.00","","","14,892.00","","","较前30日","52.52%","",""
"электросамокат","Electric scooter","N","50.90%","较前30日","0.71%","10.32","","","0.04%","较前30日","-4.42%","80,067.00","较前30日","33.33%","24,795.00","","","较前30日","31.02%","",""
"boxeo","Boxing","Y","14,289.00","较前30日","0.20%","79,688.00","较前30日","-3.68%","20.37%","较前30日","-0.56%","0.27%","较前30日","-20.59%","15.50","较前30日","-6.15%","","","",""
"chaleco táctico","Tactical vest","N","37.07%","","","15.96","","","","较前30日","-4.97%","79,462.00","","","16,082.00","较前30日","-5.24%","较前30日","56.50%","",""
"jersey","Jersey","Y","29,102.00","较前30日","7.02%","79,286.00","较前30日","18.18%","17.23%","较前30日","-11.58%","0.26%","较前30日","14.32%","10.86","较前30日","-4.53%","","","",""
"캠핑테이블","Camping table","N","30.52%","较前30日","2.86%","0.28%","","","8.75","较前30日","-11.42%","78,451.00","","","12,919.00","","","较前30日","30.52%","较前30日","0.00%"
"carretes de pesca","Fishing reels","N","17,067.00","较前30日","2.85%","78,400.00","较前30日","4.24%","30.73%","较前30日","-1.84%","0.44%","较前30日","-9.69%","20.53","较前30日","-8.33%","","","",""
"camping accesorios","camping accessories","N","10,081.00","较前30日","13.56%","78,119.00","较前30日","8.80%","24.84%","较前30日","-8.27%","0.25%","较前30日","5.48%","47.61","较前30日","25.00%","","","",""
"очки солнцезащитные женские","Women's sunglasses","N","60.93%","较前30日","9.31%","","","","1.13%","","","77,982.00","较前30日","76.56%","54,613.00","","","较前30日","159.20%","",""
"luz para bicicleta","Light bicycle","N","17,009.00","较前30日","0.16%","77,971.00","较前30日","2.32%","30.44%","较前30日","-1.19%","1.05%","较前30日","11.70%","21.96","较前30日","-2.32%","","","",""
"electric bicycle","electric bicycle","N","31.05%","较前30日","2.51%","31.96","","","0.06%","较前30日","-13.96%","77,885.00","较前30日","200.00%","15,245.00","","","较前30日","87.10%","",""
"boxing","boxing","Y","14,350.00","较前30日","8.62%","77,401.00","较前30日","-29.55%","19.26%","较前30日","-12.96%","0.31%","较前30日","-2.53%","24.08","较前30日","-12.47%","","","",""
"camping tools and safety equipment","camping tools and safety equipment","N","15,207.00","较前30日","0.00%","77,260.00","较前30日","0.00%","15.27%","较前30日","0.00%","0.10%","较前30日","0.00%","45.37","","","","","较前30日","0.00%"
"carabiner","carabiner","N","16,509.00","较前30日","22.23%","77,209.00","较前30日","22.96%","26.84%","较前30日","-1.65%","1.59%","较前30日","9.66%","26.80","较前30日","-3.29%","","","",""
"boat accessories","boat accessories","N","8,503.00","较前30日","28.41%","77,202.00","较前30日","21.25%","16.30%","较前30日","3.46%","0.21%","较前30日","2.77%","35.13","较前30日","5.00%","","","",""
"kukirin","kirin","Y","35.29%","较前30日","2.41%","0.14%","","","19.64","较前30日","-17.65%","77,147.00","","","19,764.00","较前30日","-16.04%","较前30日","59.27%","",""
"trottinette électrique adulte","adult electric scooter","N","17,259.00","较前30日","12.08%","77,131.00","较前30日","10.43%","36.09%","较前30日","-8.59%","11.31","","","0.34%","较前30日","-8.84%","较前30日","54.55%","",""
"straps gym","straps gym","N","20,735.00","较前30日","6.43%","77,030.00","较前30日","7.62%","34.11%","较前30日","-8.70%","2.26%","较前30日","-1.78%","15.18","较前30日","-9.08%","","","",""
"guantes para gym","gym gloves","N","18,159.00","较前30日","4.15%","76,733.00","较前30日","6.26%","34.22%","较前30日","-3.75%","1.54%","较前30日","5.62%","15.80","较前30日","0.67%","","","",""
"sog","sog","Y","15,548.00","较前30日","0.79%","76,655.00","较前30日","23.53%","26.88%","较前30日","-5.60%","0.21%","较前30日","-4.70%","12.86","较前30日","-5.64%","","","",""
"tarot cards","tarot cards","N","14,285.00","较前30日","0.51%","76,269.00","较前30日","4.68%","33.54%","较前30日","-4.93%","0.90%","较前30日","21.62%","11.03","较前30日","-13.91%","","","",""
"leg warmers","leg warmers","N","22,427.00","较前30日","4.76%","76,195.00","较前30日","-4.43%","29.06%","较前30日","-6.97%","0.86%","较前30日","-7.53%","5.96","较前30日","-9.08%","","","",""
"elektroroller","Electric scooter","N","27,463.00","较前30日","6.36%","76,132.00","较前30日","12.91%","26.62%","较前30日","-20.00%","0.12%","较前30日","9.68%","6.54","较前30日","-7.98%","","","",""
"velo électrique","Electric bike","N","15,414.00","较前30日","0.00%","76,117.00","较前30日","0.00%","32.78%","较前30日","0.00%","0.07%","较前30日","0.00%","13.68","","","","","较前30日","0.00%"
"dart","Dart","Y","21.28%","较前30日","3.80%","0.60%","较前30日","27.70%","30.33","较前30日","-16.67%","","","","","","","","","",""
"에어매트","Air matt","N","33.66%","较前30日","2.50%","0.41%","","","6.18","较前30日","-1.12%","76,000.00","","","15,491.00","较前30日","-8.91%","较前30日","39.18%","",""
"roupas feminina","Female clothing","N","7.86%","较前30日","14.74%","0.05%","","","0.61","较前30日","-13.65%","75,898.00","","","39,846.00","","","较前30日","74.58%","较前30日","0.00%"
"bicicletas eléctrica","electric bicycles","N","32.43%","较前30日","0.53%","0.07%","","","17.05","较前30日","-12.50%","75,867.00","","","17,170.00","较前30日","-18.46%","较前30日","86.59%","",""
"мультитул","Multi-tool","N","23,421.00","较前30日","3.42%","75,606.00","较前30日","-3.18%","41.75%","较前30日","-6.20%","0.24%","较前30日","-25.00%","10.52","较前30日","-7.52%","","","",""
"fatbike","fatbike","N","23.36%","较前30日","20.29%","","","","0.03%","","","75,535.00","较前30日","50.00%","21,228.00","","","较前30日","48.76%","",""
"cardio and agility training equipment","cardio and agility training equipment","N","14.15%","较前30日","5.05%","0.14%","较前30日","7.69%","33.52","较前30日","-15.31%","74,930.00","","","17,809.00","","","较前30日","113.28%","",""
"무릎보호대","Knee pads","N","24.86%","","","1.22%","","","6.24","较前30日","-0.80%","74,899.00","较前30日","-22.20%","18,240.00","较前30日","-3.17%","较前30日","36.76%","",""
"military","military","Y","10,207.00","","","74,755.00","较前30日","-5.44%","19.52%","较前30日","-2.95%","0.20%","较前30日","-0.46%","35.14","较前30日","-8.36%","","","较前30日","0.00%"
"golf clubs","golf clubs","N","13,905.00","较前30日","25.85%","74,529.00","较前30日","26.03%","26.88%","较前30日","-9.00%","29.06","较前30日","1.98%","0.12%","","","较前30日","71.43%","",""
"poc","poc","Y","13,544.00","较前30日","18.11%","74,111.00","较前30日","19.23%","29.90%","较前30日","-4.88%","0.44%","较前30日","5.69%","38.02","较前30日","2.33%","","","",""
"inbike","inbike","Y","44.23%","","","0.87%","","","29.27","较前30日","-1.07%","74,103.00","较前30日","-17.46%","15,656.00","较前30日","-9.37%","较前30日","84.06%","",""
"board game","board game","N","73,803.00","较前30日","0.87%","20.87%","较前30日","0.52%","0.42%","较前30日","-29.92%","35.71","","","","较前30日","-16.00%","","","",""
"bicicleta eléctrica","Electric bicycle","N","17,159.00","较前30日","9.50%","73,799.00","较前30日","10.38%","30.79%","较前30日","-1.03%","20.77","较前30日","3.05%","","","","","","",""
"oculos sol masculino","Men's sunglasses","N","18,363.00","较前30日","2.69%","73,643.00","较前30日","-11.11%","20.73%","较前30日","-4.23%","0.56%","较前30日","-2.08%","3.97","较前30日","-0.40%","","","",""
"quad lock","quad lock","Y","28,885.00","较前30日","9.26%","73,385.00","较前30日","8.85%","13.97%","较前30日","-12.08%","0.61%","较前30日","7.02%","3.72","较前30日","-14.27%","","","",""
"glasses","glasses","Y","31,662.00","较前30日","0.56%","73,374.00","较前30日","11.36%","19.84%","较前30日","-13.00%","0.98%","较前30日","19.13%","3.39","较前30日","-8.60%","","","",""
"football","football","N","20,962.00","较前30日","1.88%","73,327.00","较前30日","17.65%","12.98%","较前30日","-7.71%","0.20%","较前30日","-0.69%","19.54","较前30日","-4.98%","","","",""
"キャンプ用品","camp supplies","N","9,668.00","较前30日","21.50%","73,311.00","较前30日","25.17%","20.75%","较前30日","-2.26%","0.17%","较前30日","-3.69%","31.73","较前30日","-10.53%","","","",""
"magic the gathering","magic the gathering","Y","19,914.00","较前30日","1.39%","73,034.00","较前30日","4.41%","25.56%","较前30日","-9.41%","5.14","","","","较前30日","-5.48%","","","",""
"골프용품","Golf supplies","N","13.63%","较前30日","1.11%","0.24%","","","17.52","较前30日","-20.00%","72,574.00","","","7,804.00","较前30日","-14.71%","较前30日","56.74%","",""
"accesorios de pesca","Fishing accessories","N","9,928.00","较前30日","11.67%","72,562.00","较前30日","23.19%","28.04%","较前30日","-10.55%","0.85%","较前30日","-6.57%","52.88","较前30日","-13.86%","","","",""
"골프용품 땡처리","golf supplies","N","10,682.00","较前30日","0.00%","72,523.00","较前30日","0.00%","18.10%","较前30日","0.00%","0.39%","较前30日","0.00%","17.59","","","","","较前30日","0.00%"
"barraca de camping","Tent camping","N","12,877.00","较前30日","14.98%","72,176.00","较前30日","18.37%","29.18%","较前30日","-2.47%","0.04%","较前30日","3.37%","9.53","","","","","较前30日","0.00%"
"escooter","escooter","N","34.29%","","","0.11%","","","17.81","较前30日","-2.94%","72,040.00","较前30日","-3.57%","17,220.00","较前30日","-8.33%","较前30日","41.39%","",""
"camping apparel and accessories","camping apparel and accessories","N","15,091.00","较前30日","0.00%","71,938.00","较前30日","0.00%","13.30%","较前30日","0.00%","0.12%","较前30日","0.00%","42.87","","","","","较前30日","0.00%"
"인형뽑기 기계","Doll claw machine","N","17,616.00","较前30日","25.00%","71,845.00","较前30日","5.13%","18.05%","较前30日","-6.59%","0.15%","较前30日","-4.14%","3.16","较前30日","-7.82%","","","",""
"gomexus","gomexus","Y","12,057.00","较前30日","0.84%","71,693.00","较前30日","-14.88%","35.18%","较前30日","-10.16%","0.37%","较前30日","-15.91%","44.26","较前30日","-0.28%","","","",""
"катушка для спиннинга","Spinning reel","N","19,437.00","较前30日","22.38%","71,412.00","较前30日","20.83%","50.48%","较前30日","-1.47%","23.93","较前30日","0.76%","0.50%","","","较前30日","35.14%","",""
"peche","Fishing","Y","9,702.00","较前30日","29.26%","71,076.00","较前30日","23.82%","20.72%","较前30日","-11.49%","48.57","较前30日","7.75%","0.70%","","","较前30日","42.86%","",""
"waist trainer","waist trainer","Y","22,793.00","较前30日","7.67%","70,881.00","较前30日","14.39%","34.52%","较前30日","4.39%","1.53%","较前30日","3.48%","2.64","较前30日","3.38%","","","",""
"퍼터","Putter","N","10,594.00","较前30日","16.78%","70,585.00","较前30日","14.00%","19.47%","较前30日","-9.78%","0.14%","较前30日","7.69%","9.41","较前30日","-8.21%","","","",""
"сумка женская","Women's bag","N","56.00%","较前30日","0.14%","","","","","","","0.29","","","0.14%","","","较前30日","55.56%","",""
"red dot optic","red dot optic","N","11,754.00","较前30日","6.26%","69,287.00","较前30日","-12.77%","33.86%","较前30日","-12.40%","0.41%","较前30日","-1.46%","38.26","较前30日","-10.03%","","","",""
"bandana","bandana","Y","20,623.00","较前30日","6.89%","69,197.00","较前30日","-11.75%","29.17%","较前30日","-0.28%","2.33%","较前30日","-6.80%","9.34","较前30日","-2.41%","","","",""
"chest rig","chest rig","N","11,965.00","较前30日","8.29%","68,905.00","较前30日","5.43%","33.06%","较前30日","-0.72%","0.18%","较前30日","5.88%","31.52","较前30日","-12.33%","","","",""
"daiwa","daiwa","Y","15,091.00","较前30日","0.03%","68,628.00","较前30日","1.03%","29.41%","较前30日","-4.76%","0.07%","较前30日","16.67%","36.53","较前30日","-0.75%","","","",""
"arcade","Arcade","Y","13,729.00","较前30日","3.99%","68,293.00","较前30日","20.50%","25.26%","较前30日","-11.06%","23.88","","","","较前30日","-6.73%","","","",""
"rapala","rapala","Y","12,793.00","较前30日","4.82%","68,059.00","","","26.60%","较前30日","-3.19%","43.76","较前30日","-2.85%","0.36%","较前30日","-1.82%","较前30日","71.43%","",""
"bmx","bmx","Y","18,324.00","较前30日","10.51%","67,907.00","较前30日","7.60%","24.01%","较前30日","-2.28%","0.04%","较前30日","1.00%","22.94","较前30日","-20.00%","","","",""
"bushcraft","bushcraft","Y","7,095.00","较前30日","27.78%","67,759.00","较前30日","-5.27%","21.65%","较前30日","-7.23%","0.23%","较前30日","-5.71%","87.71","较前30日","-15.20%","","","",""
"camper accessories","camper accessories","N","8,151.00","较前30日","0.75%","67,564.00","较前30日","1.73%","20.01%","较前30日","-2.15%","20.14","","","","较前30日","-7.06%","","","",""
"elektrische fiets","Electric bike","N","16,632.00","较前30日","7.70%","67,529.00","较前30日","2.89%","31.88%","较前30日","-8.33%","10.86","","","0.19%","较前30日","-9.36%","较前30日","72.73%","",""
"accesorios bicicleta mtb","Bicycle accessories mtb","N","7,388.00","较前30日","19.76%","67,529.00","较前30日","14.45%","23.18%","较前30日","-2.56%","0.35%","较前30日","20.69%","61.83","较前30日","-6.81%","","","",""
"낚시가방","Fishing bag","N","10,506.00","较前30日","24.74%","67,474.00","较前30日","26.28%","27.23%","较前30日","-0.91%","15.25","","","0.40%","较前30日","-4.87%","较前30日","48.15%","",""
"낚시대","Fishing rod","N","14,615.00","较前30日","29.10%","24.61%","较前30日","10.81%","0.41%","较前30日","-0.44%","13.95","","","67,423.00","较前30日","-13.06%","较前30日","30.68%","",""
"guantes para motos","motorcycle gloves","N","20,896.00","较前30日","3.07%","66,437.00","较前30日","5.88%","26.17%","较前30日","-17.37%","0.39%","较前30日","-9.30%","2.30","较前30日","-18.46%","","","",""
"bici elettrica","Electric bike","N","32.37%","较前30日","3.82%","0.09%","较前30日","12.50%","11.82","较前30日","-16.64%","66,418.00","","","13,475.00","","","较前30日","64.77%","",""
"bass guitar","bass guitar","N","9,530.00","","","66,172.00","较前30日","-2.38%","31.11%","较前30日","-5.11%","0.05%","较前30日","-5.50%","53.33","较前30日","-9.65%","","","较前30日","0.00%"
"vélo électrique","Electric bicycle","N","13,610.00","较前30日","5.45%","66,012.00","较前30日","2.22%","32.49%","较前30日","-1.31%","18.52","","","","较前30日","-3.64%","","","",""
"dice","dice","Y","11,482.00","较前30日","0.69%","66,009.00","较前30日","29.25%","31.88%","较前30日","-15.22%","1.37%","较前30日","13.28%","45.12","较前30日","-8.38%","","","",""
"텀블러","Tumbler","N","12.82%","较前30日","6.57%","0.22%","","","1.39","较前30日","-4.35%","65,989.00","","","19,729.00","较前30日","-3.18%","较前30日","34.88%","",""
"палатка","Tent","N","16,459.00","较前30日","11.50%","65,903.00","较前30日","10.83%","45.20%","","","22.32","较前30日","3.72%","0.05%","较前30日","1.76%","较前30日","66.67%","",""
"chuteira campo","Soccer shoe","N","25.48%","较前30日","0.55%","0.39%","","","3.59","较前30日","-17.02%","65,899.00","","","18,467.00","较前30日","-16.77%","较前30日","48.87%","",""
"kayak","kayak","N","13,238.00","较前30日","16.27%","65,763.00","较前30日","15.17%","27.51%","较前30日","-0.69%","36.75","较前30日","0.32%","0.04%","","","较前30日","300.00%","",""
"bafang","bafang","Y","34.47%","较前30日","1.32%","0.07%","","","30.05","较前30日","-22.22%","65,759.00","","","16,363.00","较前30日","-8.52%","较前30日","48.24%","",""
"surefire","surefire","Y","14,097.00","较前30日","3.73%","65,253.00","较前30日","5.97%","36.73%","较前30日","-2.15%","0.71%","较前30日","-9.34%","29.62","较前30日","-1.21%","","","",""
"outdoor","outdoor","Y","9,072.00","较前30日","7.56%","65,245.00","较前30日","2.57%","17.01%","较前30日","-2.41%","51.23","","","0.25%","较前30日","-12.44%","较前30日","150.00%","",""
"шорты женские","Women's shorts","N","39,133.00","较前30日","21.84%","65,237.00","较前30日","18.32%","52.21%","较前30日","-0.61%","0.78","","","0.14%","较前30日","-13.30%","较前30日","40.00%","",""
"owala","owala","Y","30,455.00","较前30日","5.38%","65,202.00","较前30日","-13.51%","32.01%","较前30日","-26.20%","0.32%","较前30日","-8.12%","1.30","较前30日","-25.90%","","","",""
"낚시용품 신기한것","fishing supplies new","N","9,894.00","较前30日","17.90%","64,898.00","较前30日","17.20%","22.39%","较前30日","-11.61%","0.58%","较前30日","8.32%","31.83","较前30日","13.73%","","","",""
"bearking","bearking","Y","15,802.00","较前30日","16.28%","64,738.00","较前30日","18.11%","41.35%","较前30日","-4.62%","31.94","较前30日","7.46%","1.31%","","","较前30日","31.00%","",""
"magene","magene","Y","18,355.00","较前30日","20.59%","64,656.00","较前30日","11.92%","33.39%","较前30日","-14.56%","0.41%","较前30日","-0.36%","17.57","较前30日","-16.20%","","","",""
"hunting accessories","hunting accessories","N","8,380.00","较前30日","0.00%","64,528.00","较前30日","0.00%","21.30%","较前30日","0.00%","0.39%","较前30日","0.00%","82.41","","","","","较前30日","0.00%"
"e bike electric","e bike electric","N","31.76%","较前30日","2.39%","25.41","","","0.23%","较前30日","-11.50%","64,458.00","较前30日","109.09%","13,307.00","","","较前30日","33.78%","",""
"mochilas táctica","Tactical backpacks","N","14,515.00","较前30日","25.08%","64,450.00","较前30日","26.61%","34.87%","较前30日","-3.19%","0.62%","较前30日","-0.73%","13.02","较前30日","-22.50%","","","",""
"sunglass man","sunglass man","N","18.40%","较前30日","0.38%","3.91","","","0.82%","较前30日","-1.23%","64,333.00","较前30日","30.16%","21,297.00","","","较前30日","40.44%","",""
"horse","horse","Y","11,390.00","较前30日","0.98%","64,255.00","较前30日","8.02%","17.56%","较前30日","-16.38%","0.18%","较前30日","-18.18%","41.87","较前30日","-9.57%","","","",""
"fatbike accessories","fatbike accessories","N","18.23%","较前30日","2.13%","0.48%","","","35.21","较前30日","-2.51%","64,142.00","","","8,308.00","较前30日","-9.59%","较前30日","32.15%","",""
"tactical vest","tactical vest","N","10,728.00","较前30日","1.87%","63,982.00","较前30日","9.18%","38.16%","较前30日","-4.85%","34.08","","","","较前30日","-0.25%","","","",""
"idogear","idogear","Y","9,695.00","较前30日","12.06%","63,971.00","较前30日","9.11%","36.66%","较前30日","-1.48%","0.49%","较前30日","13.95%","49.75","较前30日","-5.29%","","","",""
"surf","surf","Y","10,165.00","较前30日","16.12%","63,943.00","","","21.39%","较前30日","-7.84%","0.13%","较前30日","-3.26%","47.87","较前30日","-4.62%","","","较前30日","0.00%"
"hunting gear","hunting gear","Y","8,709.00","较前30日","0.00%","63,908.00","较前30日","0.00%","21.72%","较前30日","0.00%","0.42%","较前30日","0.00%","70.16","","","","","较前30日","0.00%"
"dungeons and dragons","dungeons and dragons","N","19.42%","较前30日","8.22%","25.54","","","0.13%","较前30日","-0.21%","","较前30日","-43.48%","","","","","","",""
"camping stove","camping stove","N","25.31%","","","0.32%","","","43.09","较前30日","-12.93%","63,655.00","较前30日","-3.41%","10,938.00","较前30日","-20.00%","较前30日","42.59%","",""
"botella de agua","Water bottle","N","18,732.00","较前30日","14.58%","63,550.00","较前30日","16.91%","17.34%","较前30日","-1.14%","0.38%","较前30日","8.57%","3.25","较前30日","0.15%","","","",""
"velo","veil","Y","21,852.00","较前30日","26.70%","63,492.00","较前30日","24.93%","19.78%","较前30日","-7.01%","17.00","","","","较前30日","-2.36%","","","",""
"accessoires trottinette électrique","electric scooter accessories","N","8,652.00","较前30日","10.75%","63,312.00","较前30日","8.51%","22.53%","较前30日","-3.14%","31.22","","","0.40%","较前30日","-0.15%","较前30日","33.33%","",""
"bike tools","bike tools","N","9,615.00","较前30日","0.00%","63,250.00","较前30日","0.00%","22.50%","较前30日","0.00%","0.59%","较前30日","0.00%","53.33","","","","","较前30日","0.00%"
"fox","fox","Y","22,716.00","较前30日","4.71%","63,063.00","","","15.57%","较前30日","-8.03%","7.43","较前30日","-2.84%","0.12%","较前30日","-11.76%","较前30日","100.00%","",""
"골프그립","Golf grip","N","9,011.00","较前30日","10.29%","62,705.00","较前30日","13.99%","23.34%","较前30日","-4.93%","0.41%","较前30日","0.69%","9.08","较前30日","-26.79%","","","",""
"molinete de pesca","Reel fishing","N","27.28%","较前30日","6.65%","0.27%","较前30日","28.57%","11.98","较前30日","-10.84%","62,572.00","","","12,992.00","","","较前30日","33.28%","",""
"camping accessoires","camping accessories","N","7,606.00","较前30日","26.89%","62,537.00","较前30日","21.84%","21.23%","较前30日","-11.84%","62.70","较前30日","1.34%","0.36%","","","较前30日","38.46%","",""
"카라비너","Carabiner","N","11,992.00","较前30日","14.32%","62,424.00","较前30日","15.63%","22.37%","较前30日","-14.85%","0.86%","较前30日","0.22%","10.88","较前30日","-9.05%","","","",""
"piscina","Swimming pool","N","14,750.00","较前30日","1.14%","62,424.00","较前30日","0.69%","18.84%","较前30日","-0.28%","0.02%","较前30日","2.94%","7.86","","","","","较前30日","0.00%"
"elektro e-bike","electric e-bike","N","23.15%","较前30日","13.93%","","","","0.09%","","","61,809.00","较前30日","80.00%","19,348.00","","","较前30日","82.56%","",""
"mma","mma","Y","12,015.00","较前30日","-4.74%","61,727.00","较前30日","-8.57%","18.55%","较前30日","-12.63%","0.32%","较前30日","-8.12%","11.74","较前30日","-14.05%","","","",""
"화로대","Grill stand","N","23.86%","","","12.70","","","","较前30日","-6.06%","61,606.00","","","9,875.00","较前30日","-12.46%","较前30日","49.03%","",""
"guantes","Gloves","N","23.08%","较前30日","4.58%","0.57%","较前30日","13.97%","6.76","较前30日","-26.92%","","","","","","","","","",""
"bieżnia elektryczna","Electric treadmill","N","15,721.00","较前30日","16.47%","61,373.00","较前30日","12.09%","35.40%","较前30日","-1.39%","3.54","","","","较前30日","-11.19%","","","",""
"천원마트","cloth skirt","N","23,248.00","","","61,283.00","","","","较前30日","-24.59%","2.19","","","0.09%","较前30日","-1.40%","较前30日","800.00%","",""
"lentes de sol","Sunglasses","N","20,530.00","较前30日","4.96%","61,252.00","较前30日","10.17%","21.80%","较前30日","-9.77%","0.65%","较前30日","0.95%","3.98","较前30日","-17.80%","","","",""
"gode","gode","Y","42,782.00","较前30日","27.27%","7.42%","","","0.74","较前30日","-24.14%","","","","0.03%","较前30日","-5.52%","较前30日","200.00%","",""
"gravel","gravel","Y","61,202.00","较前30日","25.35%","33.08%","较前30日","7.19%","24.13","较前30日","-14.53%","","","","15,802.00","","","较前30日","33.87%","",""
"tennis","Tennis","Y","14,105.00","较前30日","2.14%","61,182.00","较前30日","9.69%","16.30%","较前30日","-0.23%","24.17","","","0.29%","较前30日","-3.50%","较前30日","70.59%","",""
"gloves","gloves","Y","22.36%","较前30日","0.40%","1.00%","较前30日","9.66%","8.74","较前30日","-0.99%","","","","","","","","","",""
"bicicleta aro 29","Bicycle rim 29","N","15,203.00","较前30日","2.97%","60,399.00","较前30日","8.40%","23.65%","较前30日","-10.86%","0.01%","较前30日","10.57%","9.76","","","","","较前30日","0.00%"
"chess","chess","Y","12,616.00","较前30日","3.76%","60,193.00","较前30日","9.56%","29.01%","较前30日","-13.77%","34.05","","","0.29%","较前30日","-13.71%","较前30日","31.82%","",""
"надувная палатка","Inflatable tent","N","14,726.00","较前30日","5.64%","59,889.00","较前30日","6.32%","58.95%","较前30日","-8.38%","0.01%","较前30日","5.14%","11.75","","","","","较前30日","0.00%"
"copozz","copozz","Y","47.46%","较前30日","26.92%","19.20","","","0.70%","较前30日","-3.22%","","较前30日","-36.94%","","","","","","",""
"mesa plegables portátil","portable folding table","N","25.36%","","","0.43%","","","3.23","较前30日","-1.05%","59,430.00","","","17,666.00","较前30日","-4.25%","较前30日","62.42%","较前30日","0.00%"
"ball","ball","Y","16,079.00","较前30日","6.70%","58,834.00","","","16.08%","较前30日","-2.11%","21.17","较前30日","-4.54%","0.37%","较前30日","-4.69%","较前30日","42.31%","",""
